harness_id,harness,feature,kind,text,official_aliases,sources,checked_on
codex,Codex CLI,start,CLI,`codex`,,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,model,MIXED,`--model MODEL` / `/model`,`-m` = `--model`,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,headless,CLI,"`codex exec ""PROMPT""`",`codex e` = `codex exec`,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,resume,CLI,`codex resume --last` / `codex resume ID`,,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,plan,SLASH,`/plan [PROMPT]`,,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,compact,SLASH,`/compact`,,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,approval,CLI,`--ask-for-approval never --sandbox workspace-write`。承認しない設定と隔離は別。,`-a` = `--ask-for-approval` ; `-s` = `--sandbox`,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,goal,SLASH,`/goal OBJECTIVE`、`/goal pause`、`/goal resume`。ローカルモデルでの継続品質は未実測。,,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,test,MODEL,テストを実行して失敗を修正するよう依頼。`codex review`はレビュー用でテスト合格ゲートではない。,,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,delegate,MIXED,エージェント機能・設定で委譲。`codex agents`はセッション閲覧で、spawnコマンドではない。,,https://learn.chatgpt.com/docs/developer-commands?surface=cli ; https://learn.chatgpt.com/docs/config-file/config-reference,2026-09-13
codex,Codex CLI,schedule,UNVERIFIED,この比較ではローカルCLIの定期実行コマンド未確定。外部schedulerで`codex exec`を起動可能。,,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,limits,CONFIG,providerの`request_max_retries` / `stream_max_retries`。壁時計制限は外部プロセス管理で補う。,,https://learn.chatgpt.com/docs/config-file/config-reference,2026-09-13
codex,Codex CLI,sandbox,CLI,`--sandbox workspace-write` / `read-only`。`--worktree`はGit分離でOS隔離ではない。,,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,extend,MIXED,`codex mcp`、`codex plugin`、`/skills`,,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
codex,Codex CLI,output,CLI,"`codex exec --json ""PROMPT""`",,https://learn.chatgpt.com/docs/developer-commands?surface=cli,2026-09-13
claude-code,Claude Code,start,CLI,`claude`,,https://code.claude.com/docs/en/cli-reference,2026-09-13
claude-code,Claude Code,model,MIXED,`--model MODEL` / `/model`,,https://code.claude.com/docs/en/cli-reference ; https://code.claude.com/docs/en/commands,2026-09-13
claude-code,Claude Code,headless,CLI,"`claude --print ""PROMPT""`",`-p` = `--print`,https://code.claude.com/docs/en/cli-reference,2026-09-13
claude-code,Claude Code,resume,CLI,`claude --continue` / `claude --resume ID`,`-c` = `--continue` ; `-r` = `--resume`,https://code.claude.com/docs/en/cli-reference,2026-09-13
claude-code,Claude Code,plan,MIXED,`--permission-mode plan` / `/plan`,,https://code.claude.com/docs/en/cli-reference ; https://code.claude.com/docs/en/commands,2026-09-13
claude-code,Claude Code,compact,SLASH,`/compact [INSTRUCTIONS]`,,https://code.claude.com/docs/en/commands,2026-09-13
