harness_id,harness,scope,local_status,protocol,connection,sources,checked_on
codex,Codex CLI,CLI。手元の help は 0.154.0。クラウド／Desktop機能は別,supported,Responses,"`codex --oss --local-provider ollama -m MODEL`。LM Studioも選択可。独自providerは`base_url`＋`wire_api = ""responses""`。Chat Completionsだけのサーバーとは直接同一視しない。",https://learn.chatgpt.com/docs/developer-commands?surface=cli ; https://learn.chatgpt.com/docs/config-file/config-reference,2026-09-13
claude-code,Claude Code,CLI。非Claudeモデル経路はOllama側の公式案内,conditional,Anthropic Messages,"OllamaのAnthropic互換APIで接続。`ANTHROPIC_BASE_URL=http://localhost:11434`、`ANTHROPIC_AUTH_TOKEN=ollama`、`ANTHROPIC_API_KEY=""""`を設定し`claude --model MODEL`。Chat Completionsのみなら変換層が必要。",https://docs.ollama.com/integrations/claude-code,2026-09-13
grok-build,Grok Build,公式`grok` CLI。非公式grok-code / grok-cliやGrok Code Fastモデルとは別,supported,Chat Completions / Responses / Anthropic Messages,`~/.grok/config.toml`の`[model.<id>]`に`base_url`、`model`、`api_backend`を設定。独自モデル経路あり。ローカルQwen実測は未実施。,https://docs.x.ai/build/settings/reference,2026-09-13
qwen-code,Qwen Code,公式CLI。更新の速い現行docs / mainを参照,supported,Chat Completionsほかprovider別プロトコル,`qwen --auth-type openai --openai-base-url URL --openai-api-key KEY --model MODEL`。URLは通常`http://127.0.0.1:PORT/v1`。,https://qwenlm.github.io/qwen-code-docs/en/users/configuration/model-providers/,2026-09-13
opencode,OpenCode,通常の`opencode` CLI。`opencode2` / v2設定は別扱い,supported,Chat Completions / Responses（providerで選択）,`opencode.json`の`provider.<id>.options.baseURL`。Chat Completionsなら`@ai-sdk/openai-compatible`。`-m provider/MODEL`で選択。,https://opencode.ai/docs/providers/,2026-09-13
hermes,Hermes Agent,Nous Researchの汎用agent。CLI / gateway / Goalは利用面で差がある,supported,Chat Completions（custom endpoint）,`hermes setup`でCustom Endpoint。`model.provider: custom`、`model.base_url: URL`、`model.default: MODEL`。,https://hermes-agent.nousresearch.com/docs/guides/local-ollama-setup,2026-09-13
deepseek-harness,DeepSeek Harness (dsh),公式developer preview。Web / headless / SDKを区別,supported,Chat Completions / Responses / Anthropic Messages,WebのSettings → Models → Add a custom provider。`baseURL`とAPI protocolを指定。`llm-pi-ai.providers`で設定可。,https://github.com/deepseek-ai/deepseek-harness/blob/c291e7961a515f6d7af9304e7fd1d257929aef26/docs/user/guide/providers.md,2026-09-13
pi,Pi (TypeScript本家),earendil-works/piのcoding-agent。本家と同名のRust/Python版を混ぜない,supported,Chat Completions等（provider設定）,`~/.pi/agent/models.json`に`baseUrl`、`api: openai-completions`、`apiKey`、`models`を登録。鍵不要サーバーにもダミーkey設定が必要。,https://github.com/earendil-works/pi/blob/71dca871bc80b6bc97be37f0ca3189399d651fff/packages/coding-agent/docs/models.md,2026-09-13
aider,Aider,CLI。編集・検証中心,supported,Chat Completions / Ollama,OpenAI互換は`OPENAI_API_BASE=URL`＋`OPENAI_API_KEY=KEY`、`aider --model openai/MODEL`。Ollamaは`ollama_chat/MODEL`。,https://aider.chat/docs/llms.html ; https://aider.chat/docs/llms/openai-compat.html,2026-09-13
openhands-cli,OpenHands CLI (legacy),CLIは公式でfeature-complete・安定性維持中心。新しいCanvas/SDKと分離,supported,provider / SDKが扱うローカルAPI,`LLM_MODEL`、`LLM_BASE_URL`、`LLM_API_KEY`＋`--override-with-envs`で既存設定を上書き。,https://docs.openhands.dev/openhands/usage/cli/command-reference ; https://docs.openhands.dev/sdk/api-reference/openhands.sdk.llm,2026-09-13
openhands-sdk,OpenHands SDK / Agent Server,現在のSDK / Agent Server。ブラウザ操作はAgent Canvas,supported,LLMのprovider / base_url設定,SDKのLLMをローカルproviderへ構成。Canvasはクライアント、推論設定と実行環境は接続先backend側。,https://docs.openhands.dev/sdk/api-reference/openhands.sdk.llm ; https://docs.openhands.dev/overview/introduction,2026-09-13
goose,Goose,旧block/gooseはaaif-goose/gooseへ移転。CLIを対象,supported,Ollama / OpenAI-compatible,`goose configure`でprovider設定。Ollamaは`OLLAMA_HOST`、OpenAI互換は`OPENAI_HOST`。`--provider` / `--model`で選択。,https://github.com/aaif-goose/goose/blob/50666ae0b9a51e260b52b7efbab2e4e020346e94/documentation/docs/getting-started/providers.md ; https://github.com/aaif-goose/goose/blob/50666ae0b9a51e260b52b7efbab2e4e020346e94/documentation/docs/guides/goose-cli-commands.md,2026-09-13
mistral-vibe,Mistral Vibe,Vibe Code CLI。Webサービスとは別,supported,Chat Completions,"`~/.vibe/config.toml`の`[[providers]]`に`api_base` / `api_style=""openai""` / `backend=""generic""`、`[[models]]`にモデルを登録。",https://docs.mistral.ai/vibe/code/cli/offline-models,2026-09-13
kilo,Kilo Code CLI,現行`kilo` CLI。古いCLI／VS CodeのUI手順を混ぜない,supported,Ollama / OpenAI-compatible providers,`kilo.jsonc`のproviderにローカルendpointとMODELを設定。Ollama / LM Studio / Atomic Chatを公式案内。,https://kilo.ai/docs/automate/extending/local-models ; https://kilo.ai/docs/code-with-ai/agents/custom-models,2026-09-13
cline,Cline CLI,現行apps/cliを対象。旧CLIの引数との混在に注意,supported,Ollama / LM Studio / OpenAI-compatible,`cline auth`でprovider / base URLを設定、`--provider` / `--model`で選択。ローカルprovider対応あり。,https://github.com/cline/cline/blob/cfe9cadab99617d5013bf89f07b079d105057791/docs/cli/cli-reference.mdx ; https://github.com/cline/cline/blob/cfe9cadab99617d5013bf89f07b079d105057791/docs/running-models-locally/overview.mdx,2026-09-13
openclaw,OpenClaw,公式CLI / embedded runtime / Gateway。起動面によって利用できる機能が異なる,supported,Ollama native API,"`models.providers.ollama`に`baseUrl: ""http://localhost:11434""`、`api: ""ollama""`とモデルを設定。Ollama経路はネイティブAPIを使うため`/v1`を付けない。`ollama/MODEL`を選択。",https://github.com/openclaw/openclaw/blob/be3d809cf6908d5fda20a31586b3887c32d29bd1/docs/providers/ollama/configuration.md,2026-09-13
gemini-cli,Gemini CLI,Google公式CLI。本体を改造したforkやQwen Codeとは別,unverified,公式経路はGemini API / Vertex AI,公式認証・設定資料では、任意のローカルQwen Chat Completionsサーバーへ直接つなぐ標準経路を確認できなかった。不可能という断定ではない。,https://geminicli.com/docs/get-started/authentication/ ; https://geminicli.com/docs/reference/configuration/,2026-09-13
